iter	RMSE
0	624931.2049
1	609522.5493
2	595491.1755
3	582688.0551
4	570221.9316
5	559120.5037
6	548843.2365
7	539244.287
8	530035.9485
9	521463.4675
10	513720.5323
11	506059.6008
12	499657.9547
13	492882.2551
14	487651.962
15	482070.2902
16	476865.3368
17	471975.6076
18	467433.4959
19	463404.4738
20	458968.3662
21	455155.3119
22	451723.0276
23	448012.5321
24	445054.4936
25	441924.4967
26	439002.8517
27	436095.1397
28	433739.2869
29	431306.2473
30	429368.5326
31	427208.8258
32	425079.7976
33	423245.0303
34	421582.2434
35	419585.5836
36	417642.3087
37	416016.5402
38	414065.8011
39	412429.3141
40	410979.6138
41	409755.8955
42	408195.4174
43	407250.0191
44	405663.3564
45	404839.0683
46	403869.9691
47	403001.7643
48	401970.6823
49	400687.0615
50	399079.2264
51	397945.6443
52	397144.0562
53	396091.3485
54	395125.403
55	394163.3212
56	393176.56
57	392539.8567
58	391683.0044
59	391191.9608
60	390676.6901
61	390085.507
62	389429.3246
63	388466.6789
64	387988.6538
65	387441.6332
66	386948.086
67	386495.576
68	385605.2774
69	384699.4336
70	383892.4638
71	382975.27
72	382684.9397
73	382052.3928
74	381553.0138
75	381222.3937
76	380513.4546
77	380172.8645
78	379279.773
79	378515.1513
80	377818.6221
81	376912.7817
82	376261.2374
83	375541.7354
84	374991.4149
85	374507.4484
86	374187.3643
87	373782.5121
88	373377.7488
89	372653.116
90	371877.7782
91	371381.7818
92	371138.1831
93	370447.9456
94	370012.7839
95	369799.6976
96	369213.818
97	368983.335
98	368557.6345
99	367814.9807
100	367406.8164
101	367120.4172
102	366957.2767
103	366521.4959
104	366265.1405
105	365999.147
106	365780.8638
107	365475.9095
108	364597.1137
109	364585.7741
110	364367.5351
111	364156.7969
112	363700.5341
113	363362.0549
114	362812.2315
115	362546.2786
116	362175.4128
117	361687.4698
118	361380.9676
119	360718.0205
120	360632.401
121	360255.5837
122	359677.8334
123	359357.3649
124	358939.6691
125	358655.7377
126	358226.8312
127	357851.0828
128	357542.7797
129	357074.5805
130	356735.0511
131	356549.8483
132	356433.1734
133	356050.3864
134	355826.7893
135	355578.4998
136	355294.6278
137	355027.8968
138	354360.8233
139	354337.5454
140	354150.9747
141	353814.6152
142	353205.1822
143	353037.1588
144	352889.1623
145	352645.0593
146	352370.5895
147	352198.8652
148	352097.3512
149	351878.8786
150	351320.8536
151	351096.3869
152	350979.8877
153	350138.4807
154	349674.9743
155	349510.2314
156	349214.8543
157	349132.1965
158	348916.5723
159	348704.2966
160	348569.1452
161	348215.5747
162	348051.3851
163	347891.1558
164	347542.2906
165	346847.6839
166	346568.5298
167	346101.0993
168	345588.7071
169	345475.3288
170	345216.7619
171	344756.374
172	344556.3573
173	343974.5941
174	343698.6517
175	343336.8273
176	342884.7147
177	342688.9994
178	342362.4829
179	342003.4656
180	341725.1481
181	341386.1703
182	341263.3636
183	340924.6689
184	340742.659
185	340528.987
186	340324.1447
187	339749.1488
188	339257.9115
189	338443.3135
190	338401.3401
191	337904.1353
192	337682.3203
193	337612.8617
194	337586.437
195	337417.4628
196	337391.9472
197	337203.3722
198	336799.2419
199	336247.0117
200	336040.7443
201	335553.0821
202	334886.8916
203	334455.63
204	333907.5639
205	333634.2212
206	333434.9567
207	333414.4658
208	332828.4586
209	332065.2645
210	331667.5786
211	331367.1214
212	330842.2799
213	330451.3238
214	330187.2262
215	330060.7624
216	329916.4346
217	329559.5375
218	329367.8848
219	329182.2112
220	328981.944
221	328667.8175
222	328351.146
223	328326.1422
224	328025.8584
225	327492.8858
226	327171.8119
227	326947.2177
228	326379.1256
229	326122.2256
230	325874.0344
231	325576.2447
232	325375.9835
233	325100.7322
234	324888.3102
235	324708.6931
236	324552.4363
237	324335.9003
238	323791.0346
239	323557.753
240	322964.5521
241	322815.2203
242	322667.8459
243	322248.6967
244	321955.2388
245	321611.9432
246	321378.116
247	320853.7433
248	320709.5345
249	320348.1795
250	319973.6018
251	319623.2562
252	319370.8958
253	319197.9421
254	319011.5645
255	318825.8968
256	318513.726
257	318400.6055
258	317962.415
259	317545.2357
260	317126.8647
261	316999.8322
262	316875.6802
263	316680.5524
264	316365.3363
265	316353.5035
266	316148.1782
267	315870.4781
268	315548.866
269	315494.837
270	315297.6293
271	315139.4371
272	314822.4569
273	314533.0405
274	314386.9317
275	314369.4277
276	314204.6463
277	313940.9544
278	313710.2798
279	313620.3172
280	313197.3756
281	312895.062
282	312867.2255
283	312431.3462
284	312160.6214
285	311936.2743
286	311919.4943
287	311773.4765
288	311621.107
289	311311.5885
290	311103.1905
291	310948.7322
292	310436.0088
293	310074.553
294	309787.3764
295	309514.7936
296	309232.5578
297	309096.4706
298	308818.1246
299	308769.8568
300	308410.0931
301	308162.2719
302	307927.1005
303	307669.7976
304	307213.7
305	307183.766
306	306872.8843
307	306846.6594
308	306745.463
309	306556.5586
310	306119.5661
311	305970.0481
312	305916.9971
313	305762.9189
314	305539.8066
315	305267.7776
316	304854.0024
317	304688.6321
318	304438.584
319	304276.8634
320	303887.3637
321	303614.7092
322	303349.9608
323	303038.7304
324	302795.572
325	302511.9397
326	302377.4575
327	302197.2686
328	301896.8601
329	301801.3049
330	301625.6098
331	301335.0447
332	301152.0265
333	300988.4379
334	300759.5491
335	300590.3237
336	300345.39
337	300117.8748
338	299705.2562
339	299618.6763
340	299381.4332
341	299177.4819
342	298988.2354
343	298747.9954
344	298421.4902
345	298218.6644
346	298021.0523
347	297712.436
348	297542.0629
349	297249.4239
350	297131.9385
351	296924.8004
352	296774.884
353	296617.5791
354	296357.8533
355	296170.3523
356	295873.3832
357	295620.5687
358	295455.7753
359	295366.2099
360	295134.0121
361	294856.8742
362	294650.6906
363	294466.3697
364	294259.4113
365	293969.5109
366	293875.5383
367	293716.5972
368	293452.7415
369	293212.6265
370	293130.1031
371	292900.3007
372	292785.9423
373	292601.0232
374	292525.1885
375	292334.8193
376	292223.8334
377	292063.358
378	291909.5055
379	291634.0704
380	291421.7682
381	291254.7446
382	291109.1706
383	290931.1856
384	290601.0346
385	290411.4347
386	290242.5283
387	289984.7605
388	289799.3003
389	289639.1796
390	289477.7902
391	289361.7696
392	289150.1889
393	288937.6592
394	288847.144
395	288771.5289
396	288526.7126
397	288256.878
398	288100.4533
399	287943.2865
400	287762.2178
401	287618.4297
402	287431.5531
403	287217.2782
404	287015.9186
405	286819.1934
406	286610.7089
407	286423.9905
408	286171.7544
409	286054.0056
410	285864.7774
411	285652.9536
412	285571.6326
413	285464.6228
414	285291.8208
415	285130.2351
416	285040.2616
417	284875.4185
418	284761.2873
419	284683.1782
420	284528.4995
421	284427.2426
422	284362.1546
423	284161.3647
424	284030.7002
425	283888.7389
426	283720.8597
427	283621.6409
428	283466.1584
429	283325.5541
430	283147.3024
431	282997.417
432	282872.6342
433	282727.4411
434	282582.3234
435	282456.5719
436	282307.4015
437	282144.8419
438	282029.0063
439	281806.1291
440	281579.5589
441	281484.3669
442	281288.363
443	281036.9551
444	280817.5243
445	280693.5293
446	280581.0344
447	280403.0576
448	280264.87
449	280124.8722
450	280037.9365
451	279902.8906
452	279817.5403
453	279633.772
454	279506.3373
455	279280.6366
456	279138.7587
457	278948.4522
458	278665.8564
459	278481.7532
460	278309.8777
461	278140.2831
462	278010.4137
463	277923.1995
464	277799.3833
465	277642.3449
466	277558.1106
467	277464.0242
468	277377.9727
469	277314.4429
470	277249.2616
471	277118.9357
472	276993.008
473	276842.8997
474	276713.7169
475	276558.4516
476	276474.5121
477	276323.3103
478	276162.148
479	276026.5336
480	275932.9015
481	275811.519
482	275680.7815
483	275481.9891
484	275346.1352
485	275132.0146
486	275036.6573
487	274880.0308
488	274768.314
489	274572.207
490	274408.5879
491	274297.8223
492	274167.6577
493	274053.4429
494	273891.039
495	273732.7464
496	273551.2734
497	273452.3564
498	273338.5789
499	273164.0501
500	273075.6261
501	272916.2969
502	272852.9148
503	272695.8572
504	272518.5448
505	272447.9846
506	272328.1554
507	272168.9668
508	272035.4643
509	271848.3417
510	271631.836
511	271490.3569
512	271354.9531
513	271119.9484
514	271034.7601
515	270880.343
516	270747.5865
517	270611.2692
518	270493.7318
519	270364.2213
520	270289.4838
521	270188.5373
522	270104.427
523	269915.2994
524	269755.6749
525	269605.9323
526	269430.4265
527	269256.1156
528	269171.3168
529	269025.9108
530	268962.1262
531	268877.3928
532	268762.0222
533	268663.7798
534	268482.2109
535	268332.9784
536	268176.8718
537	267997.5665
538	267868.7351
539	267735.3467
540	267630.9368
541	267523.8275
542	267474.06
543	267336.9526
544	267191.3019
545	267121.247
546	267045.5512
547	266987.8344
548	266871.2093
549	266675.6532
550	266593.4282
551	266473.0369
552	266307.5025
553	266129.5645
554	265987.5282
555	265898.4536
556	265737.1432
557	265664.8919
558	265508.9541
559	265403.2907
560	265332.0959
561	265224.4852
562	265047.9329
563	264908.7711
564	264794.4977
565	264674.6478
566	264586.7188
567	264436.1997
568	264370.4103
569	264255.0532
570	264114.9658
571	263968.3157
572	263863.0341
573	263720.2725
574	263609.2752
575	263541.5189
576	263379.0758
577	263312.2715
578	263231.9952
579	263055.0202
580	262951.8688
581	262819.391
582	262728.9773
583	262640.7452
584	262512.67
585	262421.9768
586	262230.1065
587	262116.6988
588	262071.9517
589	261944.3646
590	261874.3961
591	261767.9664
592	261696.9814
593	261626.605
594	261473.8657
595	261407.0001
596	261258.7368
597	261158.1338
598	260940.0174
599	260866.0089
600	260743.8281
601	260608.176
602	260464.767
603	260387.6265
604	260239.1898
605	260082.1462
606	259932.5722
607	259875.884
608	259808.5942
609	259692.0089
610	259599.1883
611	259443.3871
612	259335.0389
613	259181.2061
614	259103.5872
615	258993.0674
616	258868.0522
617	258753.5914
618	258702.3366
619	258620.5858
620	258507.4339
621	258367.1757
622	258216.999
623	258152.4413
624	257975.5754
625	257819.6739
626	257692.7652
627	257576.5994
628	257479.6226
629	257337.4621
630	257094.4246
631	256996.4532
632	256691.8578
633	256586.4776
634	256492.7723
635	256328.4891
636	256190.1057
637	256061.18
638	256000.5974
639	255858.0996
640	255752.0874
641	255643.7582
642	255608.4694
643	255494.8349
644	255300.0984
645	255192.3977
646	255090.3207
647	255010.7843
648	254932.4585
649	254875.66
650	254696.9491
651	254566.5578
652	254448.8751
653	254391.1812
654	254257.4797
655	254170.338
656	254086.1543
657	253977.3132
658	253829.2735
659	253724.4388
660	253545.0878
661	253412.1995
662	253288.0227
663	253137.7709
664	253047.8114
665	252999.8274
666	252865.6267
667	252767.9361
668	252714.839
669	252602.8605
670	252473.9582
671	252395.3314
672	252276.185
673	252143.8178
674	252086.5578
675	251972.1964
676	251875.8064
677	251737.4243
678	251609.5536
679	251494.4045
680	251369.2559
681	251253.9276
682	251120.9391
683	251080.8362
684	250954.6452
685	250880.7824
686	250737.9198
687	250648.0951
688	250574.1232
689	250472.0707
690	250374.856
691	250281.8327
692	250223.2782
693	250187.8352
694	249864.3528
695	249744.5159
696	249633.5367
697	249570.665
698	249462.1081
699	249369.2079
700	249065.8742
701	248903.2699
702	248814.8922
703	248750.4768
704	248621.1784
705	248542.6298
706	248423.4465
707	248342.2871
708	248295.1247
709	248210.779
710	248144.3315
711	248109.6737
712	248019.3734
713	247898.7436
714	247880.7329
715	247576.1823
716	247460.2711
717	247350.7898
718	247291.8357
719	247241.0368
720	247204.2133
721	247118.1019
722	247006.808
723	246910.6289
724	246792.0573
725	246659.9328
726	246597.7942
727	246499.7141
728	246344.703
729	246235.9048
730	246163.8651
731	246045.2547
732	246013.0706
733	245905.7357
734	245800.8472
735	245686.4218
736	245606.4463
737	245531.1644
738	245414.7113
739	245364.9427
740	245282.8293
741	245165.6961
742	245032.633
743	244955.0959
