iter	Passed	Remaining
0	1	1970
1	3	1849
2	5	1890
3	7	1834
4	8	1780
5	10	1767
6	12	1734
7	13	1698
8	15	1672
9	16	1658
10	18	1642
11	19	1636
12	21	1628
13	22	1609
14	24	1593
15	25	1594
16	27	1585
17	28	1580
18	30	1574
19	32	1569
20	33	1565
21	35	1566
22	36	1563
23	38	1565
24	39	1552
25	41	1545
26	42	1537
27	44	1533
28	45	1533
29	47	1530
30	49	1532
31	50	1537
32	52	1544
33	54	1541
34	55	1536
35	57	1532
36	58	1528
37	60	1523
38	61	1517
39	63	1513
40	64	1511
41	66	1506
42	67	1502
43	69	1499
44	70	1500
45	72	1496
46	73	1487
47	74	1484
48	76	1481
49	77	1477
50	79	1477
51	80	1474
52	82	1472
53	84	1475
54	85	1474
55	87	1475
56	89	1472
57	90	1471
58	92	1468
59	93	1464
60	95	1462
61	96	1458
62	97	1456
63	99	1455
64	101	1455
65	102	1452
66	104	1449
67	105	1443
68	106	1439
69	108	1437
70	109	1435
71	111	1433
72	112	1432
73	114	1432
74	115	1429
75	117	1427
76	118	1424
77	120	1423
78	121	1420
79	123	1419
80	124	1417
81	126	1414
82	127	1411
83	129	1411
84	130	1410
85	132	1407
86	133	1404
87	135	1400
88	136	1398
89	137	1394
90	139	1392
91	140	1389
92	142	1385
93	143	1381
94	144	1376
95	145	1373
96	147	1370
97	148	1367
98	149	1363
99	151	1360
100	152	1357
101	153	1353
102	154	1348
103	156	1345
104	157	1342
105	158	1338
106	159	1334
107	161	1332
108	162	1328
109	163	1319
110	164	1317
111	165	1313
112	167	1311
113	168	1307
114	169	1304
115	170	1301
116	171	1296
117	173	1293
118	174	1290
119	175	1286
120	176	1283
121	177	1280
122	179	1277
123	180	1274
124	181	1271
125	183	1269
126	184	1267
127	185	1264
128	187	1263
129	188	1262
130	189	1260
131	191	1257
132	192	1254
133	193	1251
134	194	1248
135	196	1245
136	197	1242
137	198	1241
138	200	1242
139	201	1237
140	202	1235
141	204	1232
142	205	1230
143	206	1227
144	207	1225
145	209	1222
146	210	1220
147	211	1217
148	212	1213
149	213	1211
150	214	1208
151	215	1204
152	216	1201
153	217	1197
154	218	1193
155	219	1189
156	220	1185
157	221	1181
158	222	1178
159	223	1174
160	224	1170
161	225	1167
162	226	1164
163	227	1161
164	228	1158
165	229	1154
166	230	1151
167	231	1148
168	232	1144
169	233	1142
170	235	1140
171	236	1137
172	237	1135
173	238	1132
174	239	1129
175	240	1126
176	241	1124
177	242	1121
178	243	1118
179	244	1115
180	245	1112
181	246	1109
182	247	1105
183	248	1103
184	249	1101
185	251	1098
186	252	1096
187	253	1093
188	254	1090
189	255	1087
190	256	1084
191	257	1081
192	258	1078
193	258	1075
194	259	1071
195	260	1068
196	261	1065
197	262	1062
198	263	1059
199	264	1057
200	265	1054
201	266	1053
202	267	1051
203	268	1049
204	269	1046
205	270	1043
206	271	1041
207	272	1037
208	273	1034
209	274	1032
210	275	1029
211	276	1026
212	277	1024
213	278	1023
214	279	1020
215	280	1018
216	281	1016
217	282	1014
218	283	1012
219	285	1010
220	286	1008
221	287	1005
222	288	1003
223	288	999
224	290	1001
225	292	1001
226	294	1001
227	295	999
228	296	997
229	297	994
230	298	992
231	299	991
232	300	989
233	301	987
234	302	984
235	303	982
236	304	981
237	306	980
238	308	980
239	309	979
240	311	979
241	312	977
242	313	975
243	314	973
244	315	971
245	316	971
246	317	969
247	319	967
248	320	968
249	322	967
250	323	965
251	324	963
252	325	962
253	326	959
254	327	958
255	328	956
256	330	954
257	331	952
258	332	950
259	333	948
260	334	946
261	335	944
262	336	942
263	337	940
264	338	939
265	339	937
266	341	938
267	342	936
268	343	934
269	344	932
270	345	930
271	346	928
272	348	926
273	349	924
274	350	922
275	350	919
276	351	917
277	352	915
278	353	913
279	354	911
280	355	910
281	356	908
282	357	906
283	358	904
284	360	903
285	361	901
286	361	898
287	363	898
288	364	896
289	365	895
290	366	894
291	368	892
292	370	892
293	371	892
294	373	891
295	374	889
296	375	888
297	376	886
298	377	885
299	378	883
300	379	881
301	380	880
302	382	878
303	383	877
304	384	877
305	386	876
306	388	875
307	389	874
308	390	873
309	392	872
310	393	872
311	394	870
312	395	868
313	396	866
314	397	864
315	398	862
316	399	861
317	400	859
318	401	857
319	402	855
320	403	853
321	404	851
322	405	849
323	406	847
324	407	846
325	408	844
326	409	842
327	410	840
328	411	838
329	412	836
330	413	835
331	414	833
332	415	831
333	416	829
334	417	827
335	418	826
336	419	824
337	420	822
338	421	822
339	423	821
340	424	819
341	425	818
342	426	816
343	427	815
344	428	813
345	429	811
346	430	810
347	431	808
348	432	806
349	433	805
350	434	803
351	436	802
352	437	801
353	438	800
354	439	798
355	440	796
356	441	794
357	442	793
358	443	791
359	444	790
360	445	788
361	446	786
362	447	785
363	448	783
364	449	782
365	450	780
366	451	778
367	452	777
368	453	775
369	454	773
370	455	772
371	456	770
372	457	768
373	458	767
374	459	765
375	460	764
